,User_ID,Calories,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
0,14733363,231.0,male,68,190.0,94.0,29.0,105.0,40.8
1,14861698,66.0,female,20,166.0,60.0,14.0,94.0,40.3
2,11179863,26.0,male,69,179.0,79.0,5.0,88.0,38.7
3,16180408,71.0,female,34,179.0,71.0,13.0,100.0,40.5
4,17771927,35.0,female,27,154.0,58.0,10.0,81.0,39.8
5,15130815,123.0,female,36,151.0,50.0,23.0,96.0,40.7
6,19602372,112.0,female,33,158.0,56.0,22.0,95.0,40.5
7,11117088,143.0,male,41,175.0,85.0,25.0,100.0,40.7
8,12132339,134.0,male,60,186.0,94.0,21.0,97.0,40.4
9,17964668,72.0,female,26,146.0,51.0,16.0,90.0,40.2
10,13723164,3.0,female,36,177.0,76.0,1.0,74.0,37.8
11,13681290,92.0,female,21,157.0,56.0,17.0,100.0,40.0
12,15566424,58.0,male,66,171.0,79.0,11.0,90.0,40.0
13,12891699,88.0,female,32,157.0,54.0,18.0,93.0,40.4
14,13823829,7.0,male,53,182.0,85.0,2.0,82.0,38.1
15,17557348,170.0,female,39,156.0,62.0,28.0,104.0,40.8
16,12198133,11.0,male,39,182.0,82.0,4.0,82.0,38.6
17,15236104,43.0,male,46,169.0,67.0,11.0,89.0,40.2
18,11042324,15.0,female,27,171.0,65.0,4.0,85.0,38.6
19,16864285,74.0,male,50,188.0,86.0,14.0,94.0,40.2
20,11674347,29.0,male,67,189.0,93.0,8.0,77.0,39.2
21,19797300,32.0,female,31,148.0,50.0,8.0,84.0,39.5
22,14711095,10.0,female,33,157.0,60.0,3.0,80.0,38.7
23,14434854,155.0,female,20,165.0,59.0,29.0,100.0,41.0
24,14893804,3.0,male,48,182.0,85.0,1.0,80.0,37.7
25,17231597,24.0,male,29,176.0,75.0,10.0,83.0,39.7
26,10901446,12.0,male,33,173.0,73.0,7.0,78.0,39.3
27,15874362,10.0,male,42,190.0,88.0,3.0,83.0,38.9
28,15569252,195.0,female,62,159.0,59.0,29.0,106.0,41.2
29,15615743,5.0,male,38,171.0,75.0,2.0,81.0,38.2
30,13363046,69.0,male,20,183.0,88.0,16.0,97.0,40.5
31,17572853,136.0,female,25,160.0,59.0,24.0,102.0,40.3
32,17157339,80.0,female,24,165.0,59.0,18.0,91.0,40.2
33,18328111,107.0,female,42,165.0,68.0,22.0,93.0,40.8
34,19303479,200.0,male,22,182.0,84.0,29.0,114.0,41.0
35,10699201,56.0,female,74,158.0,59.0,10.0,93.0,39.6
36,15283313,50.0,female,70,154.0,59.0,10.0,88.0,40.0
